date,product_key,location_key,closing_units,receipts,shipments,returns_in,write_offs,opening_units
2023-01-01,1,1,1523.160714,0.0,25.0,0.0,0.0,1548.160714
2023-01-01,2,1,1174.5,0.0,15.0,0.0,0.0,1189.5
2023-01-01,3,1,1100.285714,0.0,14.0,0.0,0.0,1114.285714
2023-01-01,4,1,1114.571429,0.0,22.0,0.0,0.0,1136.571429
2023-01-01,5,1,625.803571,0.0,17.0,0.0,0.0,642.803571
2023-01-01,6,1,983.982143,0.0,14.0,0.0,0.0,997.982143
2023-01-01,7,1,537.392857,0.0,10.0,0.0,0.0,547.392857
2023-01-01,8,1,491.339286,0.0,8.0,0.0,0.0,499.339286
2023-01-01,9,1,442.803571,0.0,5.0,0.0,0.0,447.803571
2023-01-01,10,1,598.892857,0.0,7.0,0.0,0.0,605.892857
2023-01-01,11,1,465.482143,0.0,6.0,0.0,0.0,471.482143
2023-01-01,12,1,561.285714,0.0,7.0,0.0,0.0,568.285714
2023-01-01,13,1,364.107143,0.0,5.0,0.0,0.0,369.107143
2023-01-01,14,1,296.464286,0.0,3.0,0.0,0.0,299.464286
2023-01-01,15,1,744.267857,0.0,3.0,0.0,0.0,747.267857
2023-01-01,16,1,200.571429,0.0,0.0,0.0,0.0,200.571429
2023-01-01,17,1,315.267857,0.0,3.0,0.0,0.0,318.267857
2023-01-01,18,1,439.982143,0.0,12.0,0.0,0.0,451.982143
2023-01-01,19,1,320.625,0.0,6.0,0.0,0.0,326.625
2023-01-01,20,1,238.267857,0.0,2.0,0.0,0.0,240.267857
2023-01-01,21,1,637.071429,0.0,12.0,0.0,0.0,649.071429
2023-01-01,22,1,221.464286,0.0,0.0,0.0,0.0,221.464286
2023-01-01,23,1,301.946429,0.0,1.0,0.0,0.0,302.946429
2023-01-01,24,1,446.982143,0.0,5.0,0.0,0.0,451.982143
2023-01-01,25,1,321.142857,0.0,2.0,0.0,0.0,323.142857
2023-01-01,26,1,180.767857,0.0,1.0,0.0,0.0,181.767857
2023-01-01,27,1,658.178571,0.0,9.0,0.0,0.0,667.178571
2023-01-01,28,1,96.589286,0.0,3.0,0.0,0.0,99.589286
2023-01-01,29,1,303.642857,0.0,0.0,0.0,0.0,303.642857
2023-01-01,30,1,443.767857,0.0,11.0,0.0,0.0,454.767857
2023-01-01,31,1,99.678571,0.0,2.0,0.0,0.0,101.678571
2023-01-01,32,1,178.160714,0.0,5.0,0.0,0.0,183.160714
2023-01-01,33,1,260.25,0.0,3.0,0.0,0.0,263.25
2023-01-01,34,1,119.482143,0.0,1.0,0.0,0.0,120.482143
2023-01-01,35,1,95.589286,0.0,4.0,0.0,0.0,99.589286
2023-01-01,36,1,869.678571,0.0,3.0,0.0,0.0,872.678571
2023-01-01,37,1,148.464286,0.0,1.0,0.0,0.0,149.464286
2023-01-01,38,1,223.392857,0.0,0.0,0.0,0.0,223.392857
2023-01-01,39,1,352.571429,0.0,1.0,0.0,0.0,353.571429
2023-01-01,40,1,117.928571,0.0,1.0,0.0,0.0,118.928571
2023-01-01,41,1,676.642857,0.0,8.0,0.0,0.0,684.642857
2023-01-01,42,1,473.107143,0.0,1.0,0.0,0.0,474.107143
2023-01-01,43,1,191.25,0.0,0.0,0.0,0.0,191.25
2023-01-01,44,1,90.0,0.0,0.0,0.0,0.0,90.0
2023-01-01,45,1,632.428571,0.0,4.0,0.0,0.0,636.428571
2023-01-01,46,1,130.178571,0.0,0.0,0.0,0.0,130.178571
2023-01-01,47,1,163.535714,0.0,2.0,0.0,0.0,165.535714
2023-01-01,48,1,138.214286,0.0,0.0,0.0,0.0,138.214286
2023-01-01,49,1,361.428571,0.0,5.0,0.0,0.0,366.428571
2023-01-01,50,1,107.678571,0.0,0.0,0.0,0.0,107.678571
2023-01-01,51,1,440.964286,0.0,1.0,0.0,0.0,441.964286
2023-01-01,52,1,157.5,0.0,0.0,0.0,0.0,157.5
2023-01-01,53,1,376.285714,0.0,3.0,0.0,0.0,379.285714
2023-01-01,54,1,234.25,0.0,2.0,0.0,0.0,236.25
2023-01-01,55,1,115.714286,0.0,0.0,0.0,0.0,115.714286
2023-01-01,56,1,65.107143,0.0,4.0,0.0,0.0,69.107143
2023-01-01,57,1,255.75,0.0,3.0,0.0,0.0,258.75
2023-01-01,58,1,50.428571,0.0,1.0,0.0,0.0,51.428571
2023-01-01,59,1,236.25,0.0,0.0,0.0,0.0,236.25
2023-01-01,60,1,39.178571,0.0,1.0,0.0,0.0,40.178571
2023-01-01,61,1,268.392857,0.0,0.0,0.0,0.0,268.392857
2023-01-01,62,1,78.75,0.0,0.0,0.0,0.0,78.75
2023-01-01,63,1,46.607143,0.0,0.0,0.0,0.0,46.607143
2023-01-01,64,1,95.428571,0.0,1.0,0.0,0.0,96.428571
2023-01-01,65,1,200.892857,0.0,0.0,0.0,0.0,200.892857
2023-01-01,66,1,78.75,0.0,0.0,0.0,0.0,78.75
2023-01-01,67,1,81.964286,0.0,0.0,0.0,0.0,81.964286
2023-01-01,68,1,202.5,0.0,0.0,0.0,0.0,202.5
2023-01-01,69,1,90.0,0.0,0.0,0.0,0.0,90.0
2023-01-01,70,1,38.571429,0.0,0.0,0.0,0.0,38.571429
2023-01-01,71,1,91.214286,0.0,2.0,0.0,0.0,93.214286
2023-01-01,72,1,122.142857,0.0,0.0,0.0,0.0,122.142857
2023-01-01,73,1,72.321429,0.0,0.0,0.0,0.0,72.321429
2023-01-01,74,1,114.107143,0.0,0.0,0.0,0.0,114.107143
2023-01-01,75,1,48.214286,0.0,0.0,0.0,0.0,48.214286
2023-01-01,76,1,147.857143,0.0,0.0,0.0,0.0,147.857143
2023-01-01,77,1,315.0,0.0,0.0,0.0,0.0,315.0
2023-01-01,78,1,64.892857,0.0,1.0,0.0,0.0,65.892857
2023-01-01,79,1,131.785714,0.0,0.0,0.0,0.0,131.785714
2023-01-01,80,1,25.714286,0.0,0.0,0.0,0.0,25.714286
2023-01-01,81,1,36.964286,0.0,0.0,0.0,0.0,36.964286
2023-01-01,82,1,62.678571,0.0,0.0,0.0,0.0,62.678571
2023-01-01,83,1,128.571429,0.0,0.0,0.0,0.0,128.571429
2023-01-01,84,1,36.964286,0.0,0.0,0.0,0.0,36.964286
2023-01-01,85,1,24.107143,0.0,0.0,0.0,0.0,24.107143
2023-01-02,1,1,1487.160714,0.0,36.0,0.0,0.0,1523.160714
2023-01-02,2,1,1124.5,0.0,50.0,0.0,0.0,1174.5
2023-01-02,3,1,1089.285714,0.0,11.0,0.0,0.0,1100.285714
2023-01-02,4,1,1073.571429,0.0,41.0,0.0,0.0,1114.571429
2023-01-02,5,1,610.803571,0.0,15.0,0.0,0.0,625.803571
2023-01-02,6,1,962.982143,0.0,21.0,0.0,0.0,983.982143
2023-01-02,7,1,521.392857,0.0,16.0,0.0,0.0,537.392857
2023-01-02,8,1,466.339286,0.0,25.0,0.0,0.0,491.339286
2023-01-02,9,1,432.803571,0.0,10.0,0.0,0.0,442.803571
2023-01-02,10,1,590.892857,0.0,8.0,0.0,0.0,598.892857
2023-01-02,11,1,458.482143,0.0,7.0,0.0,0.0,465.482143
2023-01-02,12,1,554.285714,0.0,7.0,0.0,0.0,561.285714
2023-01-02,13,1,358.107143,0.0,6.0,0.0,0.0,364.107143
2023-01-02,14,1,290.464286,0.0,6.0,0.0,0.0,296.464286
2023-01-02,15,1,734.267857,0.0,10.0,0.0,0.0,744.267857
2023-01-02,16,1,188.571429,0.0,12.0,0.0,0.0,200.571429
2023-01-02,17,1,311.267857,0.0,4.0,0.0,0.0,315.267857
2023-01-02,18,1,429.982143,0.0,10.0,0.0,0.0,439.982143
2023-01-02,19,1,302.625,0.0,18.0,0.0,0.0,320.625
2023-01-02,20,1,234.267857,0.0,4.0,0.0,0.0,238.267857
2023-01-02,21,1,610.071429,0.0,27.0,0.0,0.0,637.071429
2023-01-02,22,1,214.464286,0.0,7.0,0.0,0.0,221.464286
2023-01-02,23,1,295.946429,0.0,6.0,0.0,0.0,301.946429
2023-01-02,24,1,430.982143,0.0,16.0,0.0,0.0,446.982143
2023-01-02,25,1,313.142857,0.0,8.0,0.0,0.0,321.142857
2023-01-02,26,1,175.767857,0.0,5.0,0.0,0.0,180.767857
2023-01-02,27,1,626.178571,0.0,32.0,0.0,0.0,658.178571
2023-01-02,28,1,94.589286,0.0,2.0,0.0,0.0,96.589286
2023-01-02,29,1,300.642857,0.0,3.0,0.0,0.0,303.642857
2023-01-02,30,1,437.767857,0.0,6.0,0.0,0.0,443.767857
2023-01-02,31,1,98.678571,0.0,1.0,0.0,0.0,99.678571
2023-01-02,32,1,178.160714,0.0,0.0,0.0,0.0,178.160714
2023-01-02,33,1,257.25,0.0,3.0,0.0,0.0,260.25
2023-01-02,34,1,118.482143,0.0,1.0,0.0,0.0,119.482143
2023-01-02,35,1,92.589286,0.0,3.0,0.0,0.0,95.589286
2023-01-02,36,1,864.678571,0.0,5.0,0.0,0.0,869.678571
2023-01-02,37,1,148.464286,0.0,0.0,0.0,0.0,148.464286
2023-01-02,38,1,222.392857,0.0,1.0,0.0,0.0,223.392857
2023-01-02,39,1,337.571429,0.0,15.0,0.0,0.0,352.571429
2023-01-02,40,1,117.928571,0.0,0.0,0.0,0.0,117.928571
2023-01-02,41,1,670.642857,0.0,6.0,0.0,0.0,676.642857
2023-01-02,42,1,470.107143,0.0,3.0,0.0,0.0,473.107143
2023-01-02,43,1,189.25,0.0,2.0,0.0,0.0,191.25
2023-01-02,44,1,87.0,0.0,3.0,0.0,0.0,90.0
2023-01-02,45,1,624.428571,0.0,8.0,0.0,0.0,632.428571
2023-01-02,46,1,130.178571,0.0,0.0,0.0,0.0,130.178571
2023-01-02,47,1,161.535714,0.0,2.0,0.0,0.0,163.535714
2023-01-02,48,1,137.214286,0.0,1.0,0.0,0.0,138.214286
2023-01-02,49,1,358.428571,0.0,3.0,0.0,0.0,361.428571
2023-01-02,50,1,107.678571,0.0,0.0,0.0,0.0,107.678571
2023-01-02,51,1,440.964286,0.0,0.0,0.0,0.0,440.964286
2023-01-02,52,1,157.5,0.0,0.0,0.0,0.0,157.5
2023-01-02,53,1,375.285714,0.0,1.0,0.0,0.0,376.285714
2023-01-02,54,1,232.25,0.0,2.0,0.0,0.0,234.25
2023-01-02,55,1,112.714286,0.0,3.0,0.0,0.0,115.714286
2023-01-02,56,1,64.107143,0.0,1.0,0.0,0.0,65.107143
2023-01-02,57,1,254.75,0.0,1.0,0.0,0.0,255.75
2023-01-02,58,1,50.428571,0.0,0.0,0.0,0.0,50.428571
2023-01-02,59,1,236.25,0.0,0.0,0.0,0.0,236.25
2023-01-02,60,1,39.178571,0.0,0.0,0.0,0.0,39.178571
2023-01-02,61,1,264.392857,0.0,4.0,0.0,0.0,268.392857
2023-01-02,62,1,78.75,0.0,0.0,0.0,0.0,78.75
2023-01-02,63,1,46.607143,0.0,0.0,0.0,0.0,46.607143
2023-01-02,64,1,93.428571,0.0,2.0,0.0,0.0,95.428571
2023-01-02,65,1,196.892857,0.0,4.0,0.0,0.0,200.892857
2023-01-02,66,1,78.75,0.0,0.0,0.0,0.0,78.75
2023-01-02,67,1,81.964286,0.0,0.0,0.0,0.0,81.964286
2023-01-02,68,1,190.5,0.0,12.0,0.0,0.0,202.5
2023-01-02,69,1,89.0,0.0,1.0,0.0,0.0,90.0
2023-01-02,70,1,38.571429,0.0,0.0,0.0,0.0,38.571429
2023-01-02,71,1,90.214286,0.0,1.0,0.0,0.0,91.214286
2023-01-02,72,1,122.142857,0.0,0.0,0.0,0.0,122.142857
2023-01-02,73,1,71.321429,0.0,1.0,0.0,0.0,72.321429
2023-01-02,74,1,114.107143,0.0,0.0,0.0,0.0,114.107143
2023-01-02,75,1,48.214286,0.0,0.0,0.0,0.0,48.214286
2023-01-02,76,1,134.857143,0.0,13.0,0.0,0.0,147.857143
2023-01-02,77,1,315.0,0.0,0.0,0.0,0.0,315.0
2023-01-02,78,1,64.892857,0.0,0.0,0.0,0.0,64.892857
